"Data da Arrecadacao";"Conta";"Descricao da Conta";"Vinculo";"Descricao do Vinculo";"Valor Arrecadado";"Entidade"
"27/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"10140,59";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"28/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"4096,93";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"28/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"3225,91";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"28/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"6759,64";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"31/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"5944,83";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"31/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"4683,93";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"31/03/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"9811,26";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"01/04/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"11255,10";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"01/04/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"8875,36";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"01/04/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"18582,04";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"02/04/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010010000";" Recursos nao vinculados de Impostos - Educacao";"7300,64";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"02/04/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150010020000";" Recursos nao vinculados de Impostos - Saude";"5765,21";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
"02/04/2025";"4111250010000000000";"Imposto sobre a propriedade predial e territorial urbana - Principal";"150070000000";" Recursos nao vinculados de Impostos - Ordinarios";"12060,90";"MUNICIPIO DE RIO DO SUL - PREFEITURA"
